Occurred_Date,Occurred_Time,Reported_Date,Reported_Time,Crime,Detail,Beat
4/30/2018,1415,4/30/2018,1525,THEFT,ALL OTHER,Q2
4/30/2018,1200,4/30/2018,1524,CAR PROWL,,M1
4/30/2018,1541,4/30/2018,1541,WEAPON,,W2
4/27/2018,1800,4/30/2018,1715,BURGLARY,RESIDENTIAL,Q3
4/30/2018,1554,4/30/2018,1554,SEX OFFENSE,OTHER,M1
4/13/2018,2300,4/30/2018,1836,CAR PROWL,,N3
4/30/2018,1550,4/30/2018,1600,THEFT,SHOPLIFT,Q3
4/28/2018,1200,4/30/2018,1604,MOTOR VEHICLE THEFT,,B1
4/26/2018,2312,4/30/2018,1615,BURGLARY,RESIDENTIAL,E3
4/30/2018,730,4/30/2018,1603,MOTOR VEHICLE THEFT,,N2
4/30/2018,1611,4/30/2018,1619,CAR PROWL,,D1
4/30/2017,1,4/30/2018,1623,CAR PROWL,,
4/30/2018,1330,4/30/2018,2028,CAR PROWL,,D1
4/30/2018,1646,4/30/2018,1646,TRESPASS,,M3
4/30/2018,1623,4/30/2018,2038,THEFT,SHOPLIFT,K3
4/30/2018,1709,4/30/2018,1709,BURGLARY,RESIDENTIAL,R1
4/30/2018,1717,4/30/2018,1717,THEFT,ALL OTHER,W2
4/29/2018,2100,4/30/2018,1707,MOTOR VEHICLE THEFT,,N2
4/30/2018,1630,4/30/2018,1751,THEFT,SHOPLIFT,K3
4/30/2018,1600,4/30/2018,1737,ROBBERY,STREET,L2
4/30/2018,1747,4/30/2018,1747,THEFT,SHOPLIFT,Q3
4/30/2018,1801,4/30/2018,1801,TRESPASS,,K1
4/30/2018,1710,4/30/2018,1801,MOTOR VEHICLE THEFT,,Q2
4/29/2018,2130,4/30/2018,1817,MOTOR VEHICLE THEFT,,F1
4/30/2018,1200,4/30/2018,1813,BURGLARY,RESIDENTIAL,W3
4/30/2018,1817,4/30/2018,1817,ROBBERY,COMMERCIAL,N2
4/30/2018,1819,4/30/2018,1819,THEFT,ALL OTHER,N1
4/29/2018,2330,4/30/2018,2202,BURGLARY,RESIDENTIAL,Q2
4/29/2018,2100,4/30/2018,1839,THEFT,ALL OTHER,F3
4/30/2018,1831,4/30/2018,1831,THEFT,BICYCLE,M2
4/30/2018,1833,4/30/2018,2013,THEFT,SHOPLIFT,E2
4/30/2018,246,4/30/2018,2117,CAR PROWL,,U3
4/30/2018,1846,4/30/2018,1846,TRESPASS,,B1
4/30/2018,1800,4/30/2018,2218,CAR PROWL,,C2
4/30/2018,1926,4/30/2018,1926,CAR PROWL,,E1
4/30/2018,1926,4/30/2018,1926,THEFT,SHOPLIFT,L2
4/30/2018,1926,4/30/2018,1926,CAR PROWL,,K1
4/30/2018,2030,4/30/2018,2035,THEFT,SHOPLIFT,K3
4/30/2018,1936,4/30/2018,1937,TRESPASS,,F2
